id,platform,shop,set_code,game,reason,title,url,category
168,shopify,carteonepiece.fr,EB02,optcg,title/url,EB02 Display Box - 24 boosters - Extra Booster - Anime 25th Collection - ENG,https://carteonepiece.fr/products/eb02-display-box-24-boosters-extra-booster-anime-25th-collection-eng,
169,shopify,carteonepiece.fr,EB03,optcg,title/url,EB03 Display Box - 24 Boosters - Heroines Edition – ENG,https://carteonepiece.fr/products/eb-03-display-box-24-boosters-heroines-edition-eng,
286,shopify,carteonepiece.fr,OP09,optcg,title/url,OP09 Display Box - 24 boosters - Emperors in the New World ENG,https://carteonepiece.fr/products/op09-display-box-24-boosters-emperors-in-the-new-world-the-four-emperors-eng,
287,shopify,carteonepiece.fr,OP10,optcg,title/url,OP10 Display Box - 24 boosters - Royal Blood ENG,https://carteonepiece.fr/products/op10-display-box-24-boosters-royal-blood-eng,
295,shopify,carteonepiece.fr,OP10,optcg,title/url,TS-01 Tin Pack Set Vol.1 - OP10 Royal Blood - 2 Boosters - ENG,https://carteonepiece.fr/products/ts-01-tin-pack-set-vol-1-op10-2-boosters-eng,
288,shopify,carteonepiece.fr,OP11,optcg,title/url,OP11 Display Box - 24 boosters - A Fist of Divine Speed - ENG,https://carteonepiece.fr/products/op11-display-box-24-boosters-a-fist-of-divine-speed-eng,
289,shopify,carteonepiece.fr,OP12,optcg,title/url,OP12 Display Box - 24 boosters - Legacy of the Master - ENG,https://carteonepiece.fr/products/op12-display-box-24-boosters-legacy-of-the-master-eng,
290,shopify,carteonepiece.fr,OP13,optcg,title/url,OP13 Display Box - 24 boosters - Carrying on His Will - ENG,https://carteonepiece.fr/products/op13-display-box-24-boosters-carrying-on-his-will-eng,
291,shopify,carteonepiece.fr,OP15,optcg,title/url,OP15 Display Box - 24 boosters - Adventure on KAMI's Island - ENG,https://carteonepiece.fr/products/op15-display-box-24-boosters-adventure-on-kamis-island,
292,shopify,carteonepiece.fr,OP16,optcg,title/url,OP16 Display Box - 24 boosters - The time of battle - ENG,https://carteonepiece.fr/products/op16-display-box-24-boosters-the-time-of-battle-eng,
293,shopify,carteonepiece.fr,PRB01,optcg,title/url,PRB01 Display Box - 20 boosters - Premium Booster Pack ENG,https://carteonepiece.fr/products/prb01-display-box-20-boosters-premium-booster-pack-eng,
25202,shopify,lootboxjeux.fr,OP15,optcg,title/url,One Piece - OP15 - Adventure on Kami's Island - Booster ENG,https://lootboxjeux.fr/products/one-piece-op15-adventure-on-kamis-island-booster-eng,
73036,prestashop,www.tales-of-games.fr,EB02,optcg,title/url,OPCG - EB-02 Anime 25th...,https://www.tales-of-games.fr/jcc-one-piece/31191-one-piece-eb-02-anime-25th-collection-booster-eng-0810059788756.html,
